IATA,ICAO,Airline,Call sign,Country/Region,Comments
VJ,JTY,Jatayu Airlines,JATAYU,Indonesia,
,JWD,Jayawijaya Dirgantara,,Indonesia,
J9,JZR,Jazeera Airways,JAZEERA,Kuwait,
,JDA,JDAviation,JAY DEE,United Kingdom,
,JDP,JDP Lux,RED PELICAN,Luxembourg,
7C,JJA,Jeju Air,JEJU AIR,Republic of Korea,
,JNY,Jenney Beechcraft,JENAIR,United States,
,XLD,Jeppesen Data Plan,,United States,
,JPN,Jeppesen UK,JETPLAN,United Kingdom,
,JSI,Jet Air Group,SISTEMA,Russia,JSC
QJ,,Jet Airways,,United States,
9W,JAI,Jet Airways,JET AIRWAYS,India,
JF,JAA,Jet Asia Airways,JET ASIA,Thailand,
,JTX,Jet Aspen Air Lines,JET ASPEN,United States,
PP,PJS,Jet Aviation,JETAVIATION,Switzerland,
,BZF,Jet Aviation Business Jets,BIZFLEET,United States,
,JAS,Jet Aviation Flight Services,JET SETTER,United States,
,JCF,Jet Center Flight Training,JET CENTER,Spain,
,JCT,Jet Charter,JET CHARTER,United States,
,JCX,Jet Connection,JET CONNECT,Germany,defunct
,DWW,Jet Courier Service,DON JUAN,United States,
,JED,Jet East International,JET EAST,United States,
,JEI,Jet Executive International Charter,JET EXECUTIVE,Germany,
,RZA,Jet Fighter Flights,RAZOR,Australia,
,CFT,Jet Freighters,CASPER FREIGHT,United States,
,JGD,Jet G&D Aviation,JET GEE-AND-DEE,Israel,
,MJL,Jet Line International,MOLDJET,Moldova,
,JEK,Jet Link,JET OPS,Israel,
,HTL,Jet Linx Aviation,HEARTLAND,United States,
,JTL,Jet Linx Aviation,JET LINX,United States,
,JNR,Jet Norte,JET NORTE,Mexico,
,JRN,Jet Rent,JET RENT,Mexico,
,FJX,Jet Sky Cargo and Air Charter,,Kenya,
,JDI,Jet Story,JEDI,Poland,former Blue Jet
,JDI,Jet Story,JEDI,Poland,Formerly: Jet Service
,JSM,Jet Stream,JET STREAM,Moldova,
,JTN,Jet Test Intl.,JET TEST,United States,
,JTF,Jet Time,JETFIN,Finland,2014[34]
,JTC,Jet Trans Aviation,JETRANS,Ghana,
,JTT,Jet-2000,MOSCOW JET,Russia,
,OPS,Jet-Ops,OPS-JET,United Arab Emirates,
,JSH,Jet-stream,STREAM AIR,Hungary,
LS,EXS,Jet2,Channex,United Kingdom,Started in 1983
LS,EXS,Jet2.com,CHANNEX,United Kingdom,
,JFU,Jet4You,ARGAN,Morocco,
,OSW,JetAfrica Eswatini,BEVO,Eswatini,
,JAF,Jetairfly,BEAUTY,Belgium,
,JTL,Jetall Holdings,FIREFLY,Canada,
,JAG,Jetalliance,JETALLIANCE,Austria,
B6,JBU,JetBlue Airways,JETBLUE,United States,
0J,JCS,Jetclub,JETCLUB,Switzerland,
,QNZ,Jetconnect,QANTAS JETCONNECT,New Zealand,
,UEJ,Jetcorp,JETCORP,United States,(United Executive Jet)
,JCC,Jetcraft Aviation,JETCRAFT,Australia,
,JXA,Jetex Aviation,,Lebanon,
,JEF,Jetflite,JETFLITE,Finland,
,JFL,Jetfly Airlines,LINEFLYER,Austria,
,JFA,Jetfly Aviation,MOSQUITO,Luxembourg,
,JIC,Jetgo International,JIC-JET,Thailand,
,JLX,Jetlink Express,KEN JET,Kenya,
,JLH,Jetlink Holland,,Netherlands,"Defunct, ICAO code in use by another company"
,JMK,Jetmagic,,Malta,"Defunct, Not Many Flights"
,JMG,JetMagic,JET MAGIC,Ireland,Defunct
,JNL,JetNetherlands,JETNETHERLANDS,Netherlands,
,JNV,Jetnova de Aviación Ejecutiva,JETNOVA,Spain,
,JPO,Jetpro,JETPRO,Mexico,
,MDJ,Jetran Air,JETRAN AIR,Romania,
,JRI,Jetrider International,JETRIDER,United Kingdom,
,JEJ,Jets Ejecutivos,MEXJETS,Mexico,
,JEP,Jets Personales,JET PERSONALES,Spain,
,JSE,Jets Y Servicios Ejecutivos,SERVIJETS,Mexico,
SG,JGO,JetsGo,JETSGO,Canada,defunct
JA,JAT,JetSMART,ROCKSMART,Chile,
JQ,JST,Jetstar,JETSTAR,Australia,
3K,JSA,Jetstar Asia Airways,JETSTAR ASIA,Singapore,
JM,JKT,Jetstar Hong Kong Airways,KAITAK,China,
GK,JJP,Jetstar Japan,ORANGE LINER,Japan,
,JXT,Jetstream Executive Travel,VANNIN,United Kingdom,
,RSP,JetSuite,REDSTRIPE,United States,
,JPQ,Jett Paqueteria,JETT PAQUETERIA,Mexico,
JX,JEC,Jett8 Airlines Cargo,TAIPAN,Singapore,defunct
JO,JTG,Jettime,JETTIME,Denmark,
,JWY,Jetways of Iowa,JETWAYS,United States,
GX,JXX,JetX Airlines,JETBIRD,Iceland,
,JHM,JHM Cargo Expreso,,Costa Rica,
,JIB,Jibair,JIBAIRLINE,Djibouti,
,JSW,Jigsaw Project,JIGSAW,United Kingdom,Bristow Helicopters
,HKN,Jim Hankins Air Service,HANKINS,United States,
,RAS,Jim Ratliff Air Service,SHANHIL,United States,
LJ,JNA,Jin Air,JIN AIR,South Korea,
,JGJ,Jinggong Jet,GLOBAL JINGGONG,China,2014[34]
,TQM,JM Family Aviation,TACOMA,United States,
MT,JMC,JMC Airlines,JAYEMMSEE,United Kingdom,
,JDG,Joanas Avialinijos,LADYBLUE,Lithuania,
,JBR,Job Air,JOBAIR,Czech Republic,
,JHN,Johnson Air,AIR JOHNSON,United States,
,JON,Johnsons Air,JOHNSONSAIR,Ghana,
,JMJ,Johnston Airways,JOHNSTON,United States,
,JMM,Joint Military Commission,JOICOMAR,Sudan,
,JMT,Jomartaxi Aereo,JOMARTAXI,Mexico,
,ODI,"Jonsson, H Air Taxi",ODINN,Iceland,
R5,JAV,Jordan Aviation,JORDAN AVIATION,Jordan,
J4,JCI,Jordan International Air Cargo,,Jordan,
,JVK,Jorvik,ISLANDIC,Iceland,
,ENZ,Jota Aviation,ENZO,United Kingdom,
,JNY,Journey Aviation,UNIJET-ROCKBAND,United States,2014[34]
,JNJ,Journey Jet,JOURNEY JET,Thailand,
,JSJ,JS Air,JS CHARTER,Pakistan,
,JES,JS Aviation,JAY-ESS AVIATION,Mexico,
1M,,JSC Transport Automated Information Systems,,Russia,
XE,JSX,JSX (airline),BIGSTRIPE,United States,
,JUR,Ju-Air,JUNKERS,Switzerland,
,JFS,Juanda Flying School,JAEMCO,Indonesia,
,JUC,Juba Cargo Services & Aviation Company,JUBA CARGO,Sudan,
6J,JUB,Jubba Airways,JUBBA,Somalia,
,DKE,Jubilee Airways,DUKE,United Kingdom,
HO,DKH,Juneyao Airlines,JUNEYAO AIRLINES,China,
,JSY,Jung Sky,,Croatia,
,MEY,Justair Scandinavia,MELODY,Sweden,
,JKR,Justice Air Charter,JOKER,United States,"Trading name for Reliant Aviation, allocated in 2014[35]"
,DOJ,Justice Prisoner and Alien Transportation System,JUSTICE,United States,
,KDC,K D Air Corporation,KAY DEE,Canada,
,KSA,K S Avia,SKY CAMEL,Latvia,
,KMI,K-Mile Air,KAY-MILE AIR,Thailand,
N2,QNK,Kabo Air,KABO,Nigeria,
,KMC,Kahama Mining Corporation,KAHAMA,Tanzania,
KI,KAI,KaiserAir,KAISER,United States,"Operates B737-500, B737-700, B737-800"
K4,CKS,Kalitta Air,CONNIE,United States,"Operates B747-400's, B767-300ER's, B777F"
K9,KFS,Kalitta Charters,KALITTA,United States,"Operates Lear 25s, 35s, 36s Falcon 20s, CL601"
CB*,KII,Kalitta Charters II,DRAGSTER,United States,"Operates B727-200's, DC9-15 & 30, B737-400's"
,KES,Kallat El Saker Air Company,KALLAT EL SKER,Libya,
KD,KLS,Kalstar Aviation,KALSTAR,Indonesia,
RQ,KMF,Kam Air,KAMGAR,Afghanistan,
E2,KMP,Kampuchea Airlines,KAMPUCHEA,Cambodia,IATA was KT
,KIZ,Kanaf-Arkia Airlines,,Israel,
,KHE,Kanfey Ha'emek Aviation,KANFEY HAEMEK,Israel,
,KSU,Kansas State University,K-STATE,United States,
V2,AKT,Karat,AVIAKARAT,Russia,
,KRB,Karibu Airways Company,KARIBU AIR,Tanzania,
,KLG,Karlog Air Charter,KARLOG,Denmark,defunct
,KAJ,Karthago Airlines,KARTHAGO,Tunisia,
,KAE,Kartika Airlines,KARTIKA,Indonesia,
,KTV,Kata Transportation,KATAVIA,Sudan,
,KTK,Katekavia,KATEKAVIA,Russia,
,KAT,Kato Airline,KATO-AIR,Norway,
KV,MVD,Kavminvodyavia,AIR MINVODY,Russia,
,XKA,Kavouras Inc,,United States,
,KRN,Kaz Agros Avia,ANTOL,Kazakhstan,
,KAW,Kaz Air West,KAZWEST,Kazakhstan,
,KAO,Kazan Aviation Production Association,KAZAVAIA,Russia,
,KPH,Kazan Helicopters,KAMA,Russia,
,KKA,Kazavia,KAKAIR,Kazakhstan,
,KZS,Kazaviaspas,ASTANALINE,Kazakhstan,
3Q,KCH,KC International Airlines,CAM AIR,Cambodia,
KD,KNI,KD Avia,KALININGRAD AIR,Russia,
,JFK,Keenair Charter -,KEENAIR,United Kingdom,
FK,KEW,Keewatin Air,BLIZZARD,Canada,
,KLX,Kelix Air,KELIX,Nigeria,
,FKL,Kelner Airways,KELNER,Canada,
KW,KFA,Kelowna Flightcraft Air Charter,FLIGHTCRAFT,Canada,
,KDA,Kendell Airlines,KENDELL,Australia,defunct
M5,KEN,Kenmore Air,KENMORE,United States,
,KBA,Kenn Borek Air,BOREK AIR,Canada,
,KAH,Kent Aviation,DEKAIR,Canada,
KQ,KQA,Kenya Airways,KENYA,Kenya,
,KVS,Kevis,KEVIS,Kazakhstan,
ZN,KEY,Key Airlines,KEY AIR,United States,
KG,LYM,Key Lime Air,KEY LIME,United States,
,FTP,Keystone Aerial Surveys,FOOTPRINT,United States,
BZ,KEE,Keystone Air Service,KEYSTONE,Canada,
K6,KZW,Khalifa Airways,KHALIFA AIR,Algeria,
KW,KHK,Kharkiv Airlines,SUNRAY,Ukraine,
,WKH,Kharkov Aircraft Manufacturing Company,WEST-KHARKOV,Ukraine,
,KHR,Khazar,KHAZAR,Turkmenistan,
,KHP,Khoezestan Photros Air Lines,PHOTROS AIR,Iran,
,KRV,Khoriv-Avia,KHORIV-AVIA,Ukraine,
X9,KHO,Khors Aircompany,AIRCOMPANY KHORS,Ukraine,
KO,,,,,
,KHY,Khyber Afghan Airlines,KHYBER,Afghanistan,
,UAK,Kiev Aviation Plant,AVIATION PLANT,Ukraine,
,KNG,King Aviation,KING,United Kingdom,
,BEZ,Kingfisher Air Services,SEA BREEZE,United States,
IT,KFR,Kingfisher Airlines,KINGFISHER,India,
,KAS,Kingston Air Services,KINGSTON AIR,Canada,
,KIP,Kinnarps,KINNARPS,Sweden,
,KNS,Kinshasa Airways,KINSHASA AIRWAYS,Democratic Republic of the Congo,defunct
,KTA,Kirov Air Enterprise,VYATKA-AVIA,Russia,
Y9,IRK,Kish Air,KISHAIR,Iran,
KR,KHA,Kitty Hawk Aircargo,AIR KITTYHAWK,United States,defunct
2K,KHC,Kitty Hawk Airways,CARGO HAWK,United States,defunct
KP,KIA,Kiwi International Air Lines,KIWI AIR,United States,
,KRA,Kiwi Regional Airlines,REGIONAL,New Zealand,
KL,KLM,KLM,KLM,Netherlands,
WA,KLC,KLM Cityhopper,CITY,Netherlands,
WA,KLC,KLM Cityhopper,CITY,the Netherlands,
,KLH,KLM Helicopter,KLM HELI,Netherlands,
,KNA,Knight Air,KNIGHTAIR,Canada,
4I,KNX,Knighthawk Air Express,KNIGHT FLIGHT,Canada,
,KHX,Knighthawk Express,RIZZ,United States,
,KGT,Knights Airlines,KNIGHT-LINER,Nigeria,
,KOA,Koanda Avacion,KOANDA,Spain,
,OYE,Koda International,KODA AIR,Nigeria,
7K,KGL,Kogalymavia Air Company,KOGALYM,Russia,
,KCR,Kolob Canyons Air Services,KOLOB,United States,
,KOM,Kom Activity,COMJET,Netherlands,
,KMA,Komiaviatrans State Air Enterprise,KOMI AVIA,Russia,
8J,KMV,Komiinteravia,KOMIINTER,Russia,
,KNM,Komsomolsk-on-Amur Air Enterprise,KNAAPO,Russia,
,KOB,Koob-Corp - 96 KFT,AUTOFLEX,Hungary,
KE,KAL,Korean Air,KOREANAIR,South Korea,
,KMG,Kosmas Air,KOSMAS CARGO,Serbia,
,KSM,Kosmos,KOSMOS,Russia,
,KOS,Kosova Airlines,KOSOVA,Serbia,
,WOK,Kovar Air,WOKAIR,Czech Republic,
7B,KJC,Krasnojarsky Airlines,KRASNOJARSKY AIR,Russia,defunct
,KFC,Kremenchuk Flight College,KREMENCHUK,Ukraine,
,KRG,Krimaviamontag,AVIAMONTAG,Ukraine,
,KRO,Kroonk Air Agency,KROONK,Ukraine,
K9,KRI,Krylo Airlines,Krylo,Russia,
,KYM,Krym,CRIMEA AIR,Ukraine,
,OPC,Krystel Air Charter,OPTIC,United Kingdom,
GW,KIL,Kuban Airlines,AIR KUBAN,Russia,
VD,KPA,Kunpeng Airlines,KUNPENG,China,
,KZA,Kurzemes Avio,,Russia,
,KBV,Kustbevakningen,SWECOAST,Sweden,
KU,KAC,Kuwait Airways,KUWAITI,Kuwait,
GO,KZU,Kuzu Airlines Cargo,KUZU CARGO,Turkey,
,QVR,Kvadro Aero,PEGASO,Kyrgyzstan,
,KWN,Kwena Air,KWENA,South Africa,
,KGZ,Kyrgyz Airlines,BERMET,Kyrgyzstan,
N5,KGZ,Kyrgyz Airlines,BERMET,Kyrgyzstan,
,KTC,Kyrgyz Trans Avia,DINARA,Kyrgyzstan,
QH,LYN,Kyrgyzstan,ALTYN AVIA,Kyrgyzstan,Name changed to Air Kyrgyzstan
R8,KGA,Kyrgyzstan Airlines,KYRGYZ,Kyrgyzstan,
,DAM,Kyrgyzstan Department of Aviation,FLIGHT RESCUE,Kyrgyzstan,under the Ministry of Emergency Situation
,KGB,Kyrgz General Aviation,KEMIN,Kyrgyzstan,
,LAH,L A Helicopter,STAR SHIP,United States,
,LJY,L J Aviation,ELJAY,United States,
,LRB,L R Airlines,LADY RACINE,Czech Republic,
,FNT,L-3 Communications Flight International Aviation,FLIGHT INTERNATIONAL,United States,
JF,LAB,L.A.B. Flying Service,LAB,United States,
,LEX,L'Express Airlines,LEX,United States,
,PHO,L&L Flygbildteknik,PHOTOFLIGHT,Sweden,
,ASK,La Ronge Aviation Services,AIR SASK,Canada,
,LVT,La Valenciana Taxi Aéreo,TAXIVALENCIANA,Mexico,
,SKQ,Labcorp,SKYLAB,United States,
,LAL,Labrador Airways,LAB AIR,Canada,
LR,LRC,LACSA,LACSA,Costa Rica,
,LDE,LADE - Líneas Aéreas Del Estado,LADE,Argentina,
N6,JEV,Lagun Air,,Spain,
KG,BNX,LAI - Línea Aérea IAACA,AIR BARINAS,Venezuela,
,HCA,Lake Havasu Air Service,HAVASU,United States,
,LKL,Lakeland Aviation,LAKELAND,United States,
,LKR,Laker Airways,LAKER,United States,
,LBH,Laker Airways (Bahamas),LAKER BAHAMAS,United States,
,LAX,Laminar Air,,Spain,
,LMR,Lamra,LAMAIR,Sudan,
,LNC,LAN Dominicana,LANCANA,Dominican Republic,
,TCR,Lanaes Aereas Trans Costa Rica,TICOS,Costa Rica,
,ISL,Landsflug,ISLANDIA,Iceland,
,PAP,Langtry Flying Group,PROFLIGHT,United Kingdom,
NI,,LANICA,,Nicaragua,
IK,LKN,Lankair,Lankair,Sri Lanka,
QL,RLN,Lankan Cargo,AERO LANKA,Sri Lanka,
,LSA,LANSA,INTERNACIONAL,Dominican Republic,
,LZA,Lanza Air,AEROLANZA,Spain,
,LZT,Lanzarote Aerocargo,BARAKA,Spain,
QV,LAO,Lao Airlines,LAO,Lao People's Democratic Republic,
,LKA,Lao Capricorn Air,NAKLAO,Lao People's Democratic Republic,
,LLL,Lao Skyway,LAVIE,Lao People's Democratic Republic,
L7,LPN,Laoag International Airlines,LAOAG AIR,Philippines,
,APT,"LAP Colombia - Líneas Aéreas Petroleras, S.A.",LAP,Colombia,
,LRD,Laredo Air,LAREDO AIR,United States,
,OTN,LASTP,LASTP,São Tomé and Príncipe,
JJ,TAM,LATAM Brasil,TAM,Brazil,
4M,DSM,LATAM Argentina,LAN AR,Argentina,
UC,LCO,LATAM Cargo Chile,LAN CARGO,Chile,
LA,LAN,LATAM Chile,LAN CHILE,Chile,
,ARE,LATAM Colombia,LAN COLOMBIA,Colombia,
LU,LXP,LATAM Express,LANEX,Chile,
PZ,LAP,LATAM Paraguay,PARAGUAYA,Paraguay,
LP,LPE,LATAM Peru,LANPERU,Peru,
,LTC,LatCharter,LATCHARTER,Latvia,defunct
,LAF,Latvian Air Force,LATVIAN AIRFORCE,Latvia,
NG,LDA,Lauda Air,LAUDA AIR,Austria,
,LDI,Lauda Air Italy,LAUDA ITALY,Italy,
OE,LDM,Laudamotion,LAUDA MOTION,Austria,
OE[36],LDM,LaudaMotion,LAUDA MOTION,Austria,
,LEP,Laughlin Express,LAUGHLIN EXPRESS,United States,
,LSU,Laus,LAUS AIR,Croatia,
,LAR,Lawrence Aviation,LAWRENCE,United States,
,LAY,Layang-Layang Aerospace,LAYANG,Malaysia,
,LCB,LC Busre,BUSRE,Peru,
,LZF,Lease Fly,SKYLEASE,Portugal,
,LPL,Lease-a-Plane International,LEASE-A-PLANE,United States,
LQ,LAQ,Lebanese Air Transport,LAT,Lebanon,
,LAT,Lebanese Air Transport (charter),LEBANESE AIR,Lebanon,
,LAD,Lebanon Airport Development Corporation,LADCO-AIR,United States,
,LEB,Lebap,LEBAP,Turkmenistan,
,LCA,Leconte Airlines,LECONTE,United States,
LI,LIA,Leeward Islands Air Transport,LIAT,Antigua and Barbuda,
,LGC,Legacy Air,LEGACY AIR,Thailand,
,LGD,Legend Airlines,LEGENDARY,United States,
,LWD,Leisure Air,LEISURE WORLD,United States,
,LEN,Lentini Aviation,LENTINI,United States,
,LOR,Leo-Air,LEO CHARTER,South Africa,
,LEL,Leonsa De Aviación,LEONAVIA,Spain,
,LBR,Lepl Project Limited (Air Costa),,India,
,JKA,LeTourneau University,JACKET,United States,
,JKA,LeTourneau University,JACKET,United States,
LV,LVL,Level,LEVEL,Spain and France,
,LTY,Liberty Air,SKYDECK,Netherlands,
,LYW,Libyan Airlines,LIBYAN AIRWAYS,Libya,
,LCR,Libyan Arab Air Cargo,LIBAC,Libya,
LN,LAA,Libyan Arab Airlines,LIBAIR,Libya,
,LWA,Libyan Wings,LIBYAN WINGS,Libya,
,LIQ,Lid Air,,Sweden,
,LHB,Liebherr Geschaeftreiseflugzeug,FAMILY,Germany,
,LTA,LIFT Academy,LIFT,United States,
,LCG,Lignes Aeriennes Congolaises,CONGOLAISE,Democratic Republic of the Congo,
,LKD,Lignes Aeriennes Du Tchad,LATCHAD,Chad,
,LME,Lignes Mauritaniennes Air Express,LIMAIR EXPRESS,Mauritania,
,GCB,Lignes Nationales Aeriennes - Linacongo,LINACONGO,Republic of the Congo,
,GDQ,Lincoln Air National Guard,,United States,
,LRT,Lincoln Airlines,,Australia,
,LSY,Lindsay Aviation,LINDSAY AIR,United States,
Z8,AZN,Línea Aérea Amaszonas,,Bolivia,
,NOT,Línea Aérea Costa Norte,COSTA NORTE,Chile,
L5,,Línea Aérea Cuencana,,Ecuador,
,NEG,Línea Aérea de Fumig Aguas Negras,AGUAS NEGRAS,Chile,
QL,LER,Línea Aérea de Servicio Ejecutivo Regional,LASER,Venezuela,
,LMC,Línea Aérea Mexicana de Carga,LINEAS DECARGA,Mexico,
L7,LNP,Línea Aérea SAPSA,SAPSA,Chile,
,LSE,Línea De Aeroservicios,,Chile,
,TUY,Línea Turística Aereotuy,AEREOTUY,Venezuela,
O2,,Linear Air,HARPOON,United States,Allocated in 2017
,ALR,Líneas Aéreas Alaire S.L.,AEROLAIRE,Spain,
ZE,LCD,Líneas Aéreas Azteca,LINEAS AZTECA,Mexico,defunct
,LCN,Líneas Aéreas Canedo LAC,CANEDO,Bolivia,
,LCM,Líneas Aéreas Comerciales,LINEAS COMERCIALES,Mexico,
,UMA,Líneas Aéreas del Humaya,HUMAYA,Mexico,
,EDD,Líneas Aéreas Ejectuivas De Durango,LINEAS DURANGO,Mexico,
,EDR,Líneas Aéreas Eldorado,ELDORADRO,Colombia,
,FED,Líneas Aéreas Federales,FEDERALES,Argentina,
,LMN,Líneas Aéreas Monarca,LINEAS MONARCA,Mexico,
MJ,LPR,Líneas Aéreas Privadas Argentinas,LAPA,Argentina,defunct
,LIJ,Líneas Aéreas San Jose,LINEAS JOSE,Mexico,
,LAU,Líneas Aéreas Suramericanas,SURAMERICANO,Colombia,
,LEC,Linex,LECA,Central African Republic,
TM,LAM,Linhas Aéreas de Moçambique,MOZAMBIQUE,Mozambique,
,SMS,Linhas Aéreas Santomenses,SANTOMENSES,São Tomé and Príncipe,
,LAW,Link Airways of Australia,,Australia,
JT,LNI,Lion Air,LION INTER,Indonesia,
,LEU,Lions-Air,LIONSAIR,Switzerland,
,LYF,Lithuanian Air Force,LITHUANIAN AIRFORCE,Lithuania,safety department
,LRA,Little Red Air Service,LITTLE RED,Canada,
LM,LVG,Livingston Energy Flight,LIVINGSTON,Italy,Ceased operations 2010
,AOE,Livingstone Executive,LIVINGSTONE AIR,Italy,
LB,LLB,Lloyd Aéreo Boliviano,LLOYDAEREO,Bolivia,
,LLD,Lloyd Aviation,,Venezuela,
,LNA,Lnair Air Services,ELNAIR,Spain,
,LAC,Lockeed Aircraft Corporation,LOCKHEED,United States,
,XLG,Lockheed Air Terminal,,United States,
,XDD,Lockheed DUATS,,United States,
,CBD,Lockheed Martin Aeronautics,CATBIRD,United States,
,LNG,Lockheed Martin Aeronautics Company,LIGHTNING,United States,
LM,LOG,Loganair,LOGAN,United Kingdom,Gained the code LM after beginning independent operations (2017)
,LGA,Logistic Air,LOGAIR,Malaysia,
,CLV,Lom Praha Flying School,AEROTRAINING,Czech Republic,
,LMS,Lomas Helicopters,LOMAS,United Kingdom,
,LCY,London City Airport Jet Centre,LONDON CITY,United Kingdom,
,LNX,London Executive Aviation,LONEX,United Kingdom,
,LOV,London Flight Centre (Stansted),LOVEAIR,United Kingdom,
,LHC,London Helicopter Centres,MUSTANG,United Kingdom,
,LSS,Lone Star Airlines,LONE STAR,United States,
,ORA,Long Island Airlines,LONG ISLAND,United States,
LT,SNG,LongJiang Airlines,SNOW EAGLE,China,
,LGT,Longtail Aviation,LONGTAIL,Bermuda,
GJ,CDC,Loong Air,LOONG AIR,China,
,LRR,Lorraine Aviation,LORRAINE,France,
,LSC,Los Cedros Aviación,CEDROS,Chile,
LO,LOT,LOT Polish Airlines,POLLOT,Poland,"""POLLOT"" is not used in practice. ""LOT"" is used in almost all cases."
,TAS,Lotus Air,LOTUS FLOWER,Egypt,
,LWL,Lowlevel,CUB DRIVER,Portugal,
XO,LTE,LTE International Airways,FUN JET,Spain,
L3,LTO,LTU Austria,BILLA TRANSPORT,Austria,
LT,LTU,LTU International,LTU,Germany,
,JFC,LTV Jet Fleet Corporation,JET-FLEET,United States,
,LTW,Luchtvaartmaatschappij Twente,TWENTAIR,Netherlands,
,LKE,Lucky Air,LUCKY AIR,China,
,LUT,Luft Carago,LUGO,South Africa,
,LVD,Luftfahrt-Vermietungs-Dienst,AIR SANTE,Austria,
LH,DLH,Lufthansa,LUFTHANSA,Germany,
LH,GEC,Lufthansa Cargo,LUFTHANSA CARGO,Germany,
CL,CLH,Lufthansa CityLine,HANSALINE,Germany,
L1,,Lufthansa Systems,,Germany,
,LHT,Lufthansa Technik,LUFTHANSA TECHNIK,Germany,
,LTF,Lufttaxi Fluggesellschaft,Garfield,Germany,
L5,LTR,Lufttransport,LUFT TRANSPORT,Norway,
,LHS,Luhansk,ENTERPRISE LUHANSK,Ukraine,
,LUK,LUKoil-Avia,LUKOIL,Russia,
,UNY,Lund University School of Aviation,UNIVERSITY,Sweden,
LG,LGL,Luxair,LUXAIR,Luxembourg,
,LXA,Luxaviation,RED LION,Luxembourg,
,LUV,Luxembourg Air Rescue,LUX RESCUE,Luxembourg,
,LFE,Luxflight Executive,LUX EXPRESS,Luxembourg,
,LXO,Luxor Air,,Egypt,
,LWG,Luxwing,LUXWING,Malta,
,LUZ,Luzair,LISBON JET,Portugal,
5V,UKW,Lviv Airlines,UKRAINE WEST,Ukraine,
,LYD,Lydd Air,LYDDAIR,United Kingdom,
,LCH,Lynch Flying Service,LYNCH AIR,United States,
,LYB,Lynden Air Cargo,HIGHLANDS,Papua New Guinea,
L2,LYC,Lynden Air Cargo,LYNDEN,United States,
Y9,DAT,Lynx Air,DAUNTLESS,Canada,
,LXF,Lynx Air International,LYNX FLIGHT,United States,
,LYX,Lynx Aviation,LYNX AIR,Pakistan,
L4,SSX,Lynx Aviation,SHASTA,United States,Part of Frontier Airlines
,JNH,M & N Aviation,JONAH,United States,
,MAQ,Mac Aviation,MAC AVIATION,Spain,
,MCN,Mac Dan Aviation Corporation,MAC DAN,United States,
,MCF,MAC Fotografica,MAC FOTO,Spain,
CC,MCK,Macair Airlines,,Australia,
,MMJ,Macau Jet International,MACAUJET,China,
,MCS,Macedonian Airlines,MACAIR,Greece,
,MTD,MacKnight Airlines,,Australia,
,MDH,Madina Air,MADINA AIR,Libya,
DM,DAN,Maersk Air,MAERSKAIR,Denmark,Defunct
VB,MSK,Maersk Air UK,BLUESTAR,United Kingdom,"Defunct, later became Duo Airways"
,MJB,Magic Blue Airlines,MAGIC BLUE,Netherlands,
,MGR,Magna Air,MAGNA AIR,Austria,
,MSJ,Magnum Air,MAGNUM AIR,Philippines,
,MLH,Mahalo Air,MAHALO,United States,
W5,IRM,Mahan Air,MAHAN AIR,Iran,
M2,MZS,Mahfooz Aviation,MAHFOOZ,Gambia,
,HOG,Mahogany Air Charters,HOGAN AIR,Zambia,2014[38]
,MAT,Maine Aviation,MAINE-AV,United States,
,MAJ,Majestic Airlines,MAGIC AIR,United States,
,AKM,Mak Air,MAKAIR,Kazakhstan,
,MLG,Malagasy Airlines,,Madagascar,
,MLX,Malawi Express,MALAWI EXPRESS,Malawi,
,MWI,Malawian Airlines 2014,MALAWIAN,Malawi,
,MKK,Malaya Aviatsia Dona,AEROKEY,Russia,
MH,MAS,Malaysia Airlines,MALAYSIAN,Malaysia,
Q2,DQA,Maldivian (airline),SKYSURFER,Maldives,
DB,MLT,Maleth-Aero,,Malta,
MA,MAH,Malév Hungarian Airlines,MALEV,Hungary,defunct
,MAE,Mali Air,MALI AIREXPRESS,Austria,
,VXP,Mali Air Express,AVION EXPRESS,Mali,
,MTZ,Mali Airways,MALI AIRWAYS,Mali,
,MLC,Malila Airlift,MALILA,Democratic Republic of the Congo,
OD,MXD,Malindo Airways,MALINDO EXPRESS,Malaysia,
,MLS,Mall Airways,MALL-AIRWAYS,United States,
TF,SCW,Malmö Aviation,SCANWING,Sweden,
,LOD,Malmoe Air Taxi,LOGIC,Sweden,
,MAY,Malta Air,,Malta,2019
R5,MAC,Malta Air Charter,MALTA CHARTER,Malta,Defunct?
,MWS,Malta Wings,MALTA WINGS,Malta,
,MLB,Manaf International Airways,MANAF,Burundi,
,MRG,MANAG'AIR,MANAG'AIR,France,
RI,MDL,Mandala Airlines,MANDALA,Indonesia,
,MJC,Mandarin Air,AIR MANDA,China,
AE,MDA,Mandarin Airlines,MANDARIN,Taiwan,
JE,MNO,Mango,TULCA,South Africa,
,MHN,Manhattan Air,MANHATTAN,United Kingdom,
,MTO,Manitoulin Air Services,MANITOULIN,Canada,
,MNR,Mann Air,TEEMOL,United Kingdom,
,AAD,Mann Air Ltd,Ambassador,United Kingdom,t/a Ambassador
,MYP,Mann Yadanarpon Airlines,MANN ROYAL,Myanmar,
,MAN,Mannion Air Charter,MANNION,United States,
,MTS,Mantrust Asahi Airways,MANTRUST,Indonesia,
,MNX,Manx Airlines,MANX,United Kingdom,
